"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",267.0,272.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",72.0,90.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",179.0,116.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",88.0,67.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",516.0,531.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",358.0,211.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",18078.0,18217.0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",9418.0,10181.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1489.0,939.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",3510.0,4205.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",22692.0,24545.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",12662.0,13861.0
"JSD, surgical_case_durations    sigma    0.005",4828.0,4612.0
"JSD, surgical_case_durations    sigma    0.01",5811.0,6130.0
"JSD, surgical_case_durations    sigma    0.02",5993.0,6306.0
"JSD, surgical_case_durations    sigma    0.05",8188.0,8047.0
"JSD, surgical_case_durations    sigma    0.1",7747.0,7373.0
"JSD, surgical_case_durations    sigma    0.2",6451.0,6436.0
"JSD, surgical_case_durations    missing_entry    0.001",1915.0,2536.0
"JSD, surgical_case_durations    missing_entry    0.005",2309.0,1662.0
"JSD, surgical_case_durations    missing_entry    0.01",1759.0,2325.0
"JSD, surgical_case_durations    missing_entry    0.05",2117.0,2023.0
"JSD, surgical_case_durations    missing_entry    0.1",2375.0,2932.0
"JSD, surgical_case_durations    missing_entry    0.5",5548.0,4817.0
"JSD, surgical_case_durations    missing_entry_combined    0.001",6201.0,6343.0
"JSD, surgical_case_durations    missing_entry_combined    0.005",6273.0,6140.0
"JSD, surgical_case_durations    missing_entry_combined    0.01",6346.0,5789.0
"JSD, surgical_case_durations    missing_entry_combined    0.05",6236.0,6383.0
"JSD, surgical_case_durations    missing_entry_combined    0.1",5835.0,6423.0
"JSD, surgical_case_durations    missing_entry_combined    0.5",5416.0,5323.0
"JSDu, surgical_case_durations    sigma    0.005",1382.0,1399.0
"JSDu, surgical_case_durations    sigma    0.01",3050.0,3422.0
"JSDu, surgical_case_durations    sigma    0.02",3568.0,3555.0
"JSDu, surgical_case_durations    sigma    0.05",4041.0,3985.0
"JSDu, surgical_case_durations    sigma    0.1",4023.0,3917.0
"JSDu, surgical_case_durations    sigma    0.2",3011.0,2861.0
"JSDu, surgical_case_durations    missing_entry    0.001",279.0,316.0
"JSDu, surgical_case_durations    missing_entry    0.005",304.0,308.0
"JSDu, surgical_case_durations    missing_entry    0.01",274.0,305.0
"JSDu, surgical_case_durations    missing_entry    0.05",265.0,282.0
"JSDu, surgical_case_durations    missing_entry    0.1",253.0,230.0
"JSDu, surgical_case_durations    missing_entry    0.5",136.0,131.0
"JSDu, surgical_case_durations    missing_entry_combined    0.001",3610.0,3551.0
"JSDu, surgical_case_durations    missing_entry_combined    0.005",3376.0,3812.0
"JSDu, surgical_case_durations    missing_entry_combined    0.01",3451.0,3627.0
"JSDu, surgical_case_durations    missing_entry_combined    0.05",3245.0,3388.0
"JSDu, surgical_case_durations    missing_entry_combined    0.1",3317.0,3264.0
"JSDu, surgical_case_durations    missing_entry_combined    0.5",1911.0,1887.0
"JSD, LBP RA    sigma    0.005",3449.0,3195.0
"JSD, LBP RA    sigma    0.01",4618.0,4848.0
"JSD, LBP RA    sigma    0.02",5047.0,4918.0
